peak_index,mz,mass_resolution,snr,intensity,base_peak_ratio,fwhm
418,363.1715,27967,474.6,4380,3.6,0.013
419,363.9985,28452,77.9,721,0.6,0.0128
420,364.1145,9223,25,231,0.2,0.0395
421,364.1364,16180,39.7,368,0.3,0.0225
422,364.175,25817,119.3,1105,0.9,0.0141
423,365.0055,23400,24.2,225,0.2,0.0156
424,365.1507,27911,219.2,2039,1.7,0.0131
425,365.1827,11487,33.2,309,0.3,0.0318
426,366.0601,15365,21.5,201,0.2,0.0238
427,366.1296,13196,24.7,231,0.2,0.0277
428,366.1538,24125,58.7,547,0.4,0.0152
429,366.1943,9200,13.6,127,0.1,0.0398
430,367.0531,14099,18.7,175,0.1,0.026
431,367.1282,12325,24,224,0.2,0.0298
432,367.1662,26610,152.4,1425,1.2,0.0138
433,367.2158,25946,32.3,302,0.2,0.0142
434,368.0584,14420,13.6,128,0.1,0.0255
435,368.0971,13463,14.3,134,0.1,0.0273
436,368.143,12454,20.4,191,0.2,0.0296
437,368.1694,22770,40.7,382,0.3,0.0162
438,369.067,26215,48,452,0.4,0.0141
439,369.1028,11030,16,151,0.1,0.0335
440,369.1417,10707,24.1,227,0.2,0.0345
441,369.1778,13461,19.8,187,0.2,0.0274
442,370.0735,14925,17.5,166,0.1,0.0248
443,370.1097,13606,21.7,206,0.2,0.0272
444,370.135,10125,17,161,0.1,0.0366
445,371.1098,15208,20.4,195,0.2,0.0244
446,371.1393,16040,23.1,220,0.2,0.0231
447,371.1736,13519,13.2,126,0.1,0.0275
448,371.9888,27016,27.6,264,0.2,0.0138
449,372.1191,8028,19,181,0.1,0.0464
450,372.1481,8460,15.4,147,0.1,0.044
451,373.1179,18117,46.2,442,0.4,0.0206
452,373.155,19989,20.7,198,0.2,0.0187
453,374.1211,13920,22.3,214,0.2,0.0269
454,374.165,11624,16,153,0.1,0.0322
455,375.0727,14755,14.6,141,0.1,0.0254
456,375.1125,12530,29.7,286,0.2,0.0299
457,375.1347,13591,31.9,307,0.3,0.0276
458,375.1692,24896,53.5,515,0.4,0.0151
459,376.0175,22498,15.3,147,0.1,0.0167
460,376.1173,11135,20.2,195,0.2,0.0338
461,376.132,13904,21.8,210,0.2,0.0271
462,376.1758,11862,19.9,192,0.2,0.0317
463,377.1227,6803,24.9,240,0.2,0.0554
464,377.1481,14186,38,367,0.3,0.0266
465,377.1848,26585,115.1,1113,0.9,0.0142
466,377.2091,27595,172.4,1666,1.4,0.0137
467,378.0328,26862,54.9,531,0.4,0.0141
468,378.1253,7719,20.4,198,0.2,0.049
469,378.1516,11813,20.8,201,0.2,0.032
470,378.1899,18182,34.9,338,0.3,0.0208
471,378.2119,23071,40,387,0.3,0.0164
472,378.9805,26541,17.5,170,0.1,0.0143
473,379.1291,12297,29.4,284,0.2,0.0308
474,379.1665,28261,516.8,4999,4.1,0.0134
475,379.2154,18511,25.9,250,0.2,0.0205
476,380.0305,21841,21.9,213,0.2,0.0174
477,380.1071,12313,17.1,166,0.1,0.0309
478,380.1389,8795,19.8,192,0.2,0.0432
479,380.17,27977,143.4,1389,1.1,0.0136
480,380.2142,13619,16.5,160,0.1,0.0279
481,381.1101,12329,22.3,217,0.2,0.0309
482,381.1479,9758,37.3,362,0.3,0.0391
483,381.182,27043,3295.9,32035,26.1,0.0141
484,381.2322,17255,14.2,138,0.1,0.0221
485,382.0375,15933,27.4,266,0.2,0.024
486,382.0724,11222,16.8,164,0.1,0.034
487,382.1075,10476,22.5,219,0.2,0.0365
488,382.1298,20576,20,194,0.2,0.0186
489,382.1852,28099,845.3,8218,6.7,0.0136
490,383.0869,11251,18,175,0.1,0.034
491,383.1069,10810,18.8,182,0.1,0.0354
492,383.1602,13160,31.8,309,0.3,0.0291
493,383.1908,19316,148,1438,1.2,0.0198
494,384.0894,11451,20.8,203,0.2,0.0335
495,384.1245,20629,14,136,0.1,0.0186
496,384.1567,6923,15.7,153,0.1,0.0555
497,384.196,13535,26.3,256,0.2,0.0284
498,385.0986,19248,32.8,319,0.3,0.02
499,385.1168,13619,29.4,286,0.2,0.0283
500,385.1544,15843,20.6,201,0.2,0.0243
501,386.1017,13731,20.5,199,0.2,0.0281
502,386.1196,13123,18.3,178,0.1,0.0294
503,386.1611,9714,13.4,130,0.1,0.0398
504,386.3061,28711,21.6,210,0.2,0.0135
505,387.096,19122,27.3,265,0.2,0.0202
506,387.1324,27716,93.1,904,0.7,0.014
507,387.1744,10347,15.2,148,0.1,0.0374
508,387.9667,28949,28.1,272,0.2,0.0134
509,388.1166,15552,19.9,193,0.2,0.025
510,388.1361,18676,34.4,334,0.3,0.0208
511,388.1802,15185,14,135,0.1,0.0256
512,389.0898,14376,19,184,0.1,0.0271
513,389.1165,13842,22.9,222,0.2,0.0281
514,389.1475,23775,70.2,680,0.6,0.0164
515,389.1821,11326,14.7,143,0.1,0.0344
516,390.1301,13170,22,215,0.2,0.0296
517,390.1511,15046,25.5,248,0.2,0.0259
518,390.1965,13889,15.6,151,0.1,0.0281
519,390.923,25096,14.6,142,0.1,0.0156
520,391.0728,16140,14.3,140,0.1,0.0242
521,391.0973,12196,21.1,206,0.2,0.0321
