peak_index,mz,mass_resolution,snr,intensity,base_peak_ratio,fwhm
1164,554.2292,25330,53.5,658,0.5,0.0219
1165,554.2664,27020,60.7,746,0.6,0.0205
1166,555.1553,13528,11.9,146,0.1,0.041
1167,555.204,14881,22.5,278,0.2,0.0373
1168,555.2329,14520,25.1,309,0.3,0.0382
1169,555.2698,21134,28.7,354,0.3,0.0263
1170,556.2121,18618,17.7,221,0.2,0.0299
1171,556.2456,32245,187,2325,1.9,0.0173
1172,556.2807,22273,33.6,419,0.3,0.025
1173,557.1642,9708,12.9,161,0.1,0.0574
1174,557.2487,28627,69.3,871,0.7,0.0195
1175,557.2838,16972,17.9,225,0.2,0.0328
1176,558.197,13564,11.8,149,0.1,0.0412
1177,558.2606,30138,104.2,1315,1.1,0.0185
1178,559.1457,12445,13.4,169,0.1,0.0449
1179,559.186,12136,16.6,210,0.2,0.0461
1180,559.2637,24324,40.5,511,0.4,0.023
1181,560.1806,15095,14.5,184,0.2,0.0371
1182,560.2162,14948,14.6,185,0.2,0.0375
1183,560.2712,13856,18.8,238,0.2,0.0404
1184,561.1562,11345,15.6,196,0.2,0.0495
1185,561.1996,15324,12.4,156,0.1,0.0366
1186,561.2208,14961,11.6,147,0.1,0.0375
1187,561.2536,14595,10.6,133,0.1,0.0385
1188,561.2733,14304,11,138,0.1,0.0392
1189,562.1934,18415,36,455,0.4,0.0305
1190,562.23,16461,16.3,206,0.2,0.0342
1191,562.2681,12669,12.7,160,0.1,0.0444
1192,563.1501,13868,14.3,181,0.1,0.0406
1193,563.2136,19734,34.6,437,0.4,0.0285
1194,563.2667,15096,10.3,130,0.1,0.0373
1195,564.1526,13718,11.9,150,0.1,0.0411
1196,564.2123,21223,56.2,709,0.6,0.0266
1197,565.1673,11048,15.5,196,0.2,0.0512
1198,565.2157,13526,30.6,387,0.3,0.0418
1199,565.2767,18769,12.3,155,0.1,0.0301
1200,565.3145,30385,48.6,613,0.5,0.0186
1201,566.1685,13674,17.8,225,0.2,0.0414
1202,566.1906,25045,16.6,210,0.2,0.0226
1203,566.2275,12776,29.6,374,0.3,0.0443
1204,566.3166,23539,18.2,230,0.2,0.0241
1205,567.1815,13632,23.3,296,0.2,0.0416
1206,567.2232,7422,21.4,272,0.2,0.0764
1207,567.2928,18072,24,305,0.2,0.0314
1208,567.3275,18871,13.8,175,0.1,0.0301
1209,568.1798,15924,21,267,0.2,0.0357
1210,568.2112,16727,17.8,227,0.2,0.034
1211,568.2453,27516,50.6,643,0.5,0.0207
1212,568.2937,16639,14,178,0.1,0.0342
1213,569.1269,17137,12.4,158,0.1,0.0332
1214,569.1631,17695,28.3,360,0.3,0.0322
1215,569.2483,15249,24.5,312,0.3,0.0373
1216,570.1701,10694,15.8,201,0.2,0.0533
1217,570.2614,31174,492.9,6285,5.1,0.0183
1218,571.1391,15093,12.9,165,0.1,0.0378
1219,571.1992,10444,26.1,334,0.3,0.0547
1220,571.2648,32171,189.1,2415,2,0.0178
1221,572.1985,10865,15.9,204,0.2,0.0527
1222,572.2767,30832,614.1,7870,6.4,0.0186
1223,573.1338,12794,12.6,162,0.1,0.0448
1224,573.1674,12600,13.5,174,0.1,0.0455
1225,573.196,13765,14.4,186,0.2,0.0416
1226,573.2802,31978,223.7,2876,2.3,0.0179
1227,574.1968,13757,14.9,191,0.2,0.0417
1228,574.2329,16815,13.4,173,0.1,0.0341
1229,574.2901,26416,118.5,1525,1.2,0.0217
1230,575.1773,13769,13.1,168,0.1,0.0418
1231,575.2329,9467,12.6,161,0.1,0.0608
1232,575.2949,26330,41.9,539,0.4,0.0218
1233,576.2108,22749,35.2,452,0.4,0.0253
1234,576.2475,18978,23.4,301,0.2,0.0304
1235,576.3007,12853,16.3,210,0.2,0.0448
1236,577.1555,13793,10.2,132,0.1,0.0418
1237,577.2158,11107,19.7,254,0.2,0.052
1238,577.3103,17765,11.6,150,0.1,0.0325
1239,578.1619,20821,25.7,331,0.3,0.0278
1240,578.2239,21851,118.5,1528,1.2,0.0265
1241,578.2586,20431,17.9,231,0.2,0.0283
1242,579.1678,15630,19.3,249,0.2,0.0371
1243,579.2247,18482,58,748,0.6,0.0313
1244,579.2903,19000,11.2,144,0.1,0.0305
1245,579.3305,29761,51,658,0.5,0.0195
1246,580.1798,14917,24.9,322,0.3,0.0389
1247,580.2403,18282,55.9,723,0.6,0.0317
1248,580.3333,23362,18.8,244,0.2,0.0248
1249,581.2255,16587,53.9,699,0.6,0.035
1250,581.3083,22049,25,324,0.3,0.0264
1251,581.3428,18067,14,181,0.1,0.0322
1252,582.2037,16011,29,376,0.3,0.0364
1253,582.222,14405,27.7,360,0.3,0.0404
1254,582.3105,13408,14.5,188,0.2,0.0434
1255,583.2029,11075,21.1,275,0.2,0.0527
1256,583.2634,19065,13.9,181,0.1,0.0306
1257,583.2887,17934,24.3,316,0.3,0.0325
1258,584.2067,28904,63.1,824,0.7,0.0202
1259,584.2402,16961,20.4,266,0.2,0.0344
1260,584.277,24632,44.9,586,0.5,0.0237
1261,585.1541,16974,12.9,170,0.1,0.0345
1262,585.2107,17927,29.5,389,0.3,0.0326
1263,585.2442,19098,14.4,189,0.2,0.0306
1264,585.2797,21496,25.1,330,0.3,0.0272
1265,586.2026,15780,31.8,420,0.3,0.0371
1266,586.2574,18125,25.1,331,0.3,0.0323
1267,586.2898,17190,20.3,268,0.2,0.0341
1268,587.1334,21320,24.8,328,0.3,0.0275
1269,587.1723,16047,18.4,243,0.2,0.0366
1270,587.2053,12340,17.8,235,0.2,0.0476
1271,587.2622,12776,16.2,214,0.2,0.046
1272,587.295,16756,16.9,223,0.2,0.035
1273,588.138,11499,11.9,157,0.1,0.0511
1274,588.1779,17018,12.5,164,0.1,0.0346
1275,588.2072,12373,14.9,196,0.2,0.0475
1276,588.2365,25528,12.3,162,0.1,0.023
1277,588.2717,18404,26.4,348,0.3,0.032
1278,589.1299,16966,13.2,175,0.1,0.0347
1279,589.1854,9575,14.3,189,0.2,0.0615
1280,589.2387,16620,12.8,169,0.1,0.0355
1281,589.2749,11110,15.6,206,0.2,0.053
1282,590.1366,11444,9.5,125,0.1,0.0516
1283,590.1989,14534,12.6,167,0.1,0.0406
1284,590.227,15701,24.1,319,0.3,0.0376
1285,590.2817,17639,13.2,175,0.1,0.0335
1286,590.9007,31413,184.1,2441,2,0.0188
1287,591.133,15491,10,133,0.1,0.0382
1288,591.1806,12093,13.6,181,0.1,0.0489
1289,591.2371,11351,15.6,207,0.2,0.0521
1290,591.2455,10871,15.5,205,0.2,0.0544
1291,591.3299,17485,9.7,129,0.1,0.0338
1292,592.1809,14768,19.1,254,0.2,0.0401
1293,592.2429,31545,286.5,3810,3.1,0.0188
1294,593.151,17751,11.6,154,0.1,0.0334
1295,593.183,16101,15.4,205,0.2,0.0368
1296,593.2458,29742,109,1451,1.2,0.0199
1297,593.3078,17435,12.1,161,0.1,0.034
1298,593.346,30839,55.6,740,0.6,0.0192
1299,594.1928,27660,108.2,1439,1.2,0.0215
1300,594.2527,22003,389.1,5174,4.2,0.027
1301,594.3489,25913,20.2,268,0.2,0.0229
1302,595.1459,17967,10.6,141,0.1,0.0331
1303,595.1978,23947,59.8,795,0.6,0.0249
1304,595.2531,19945,160.2,2130,1.7,0.0298
1305,595.3252,26505,31.2,414,0.3,0.0225
1306,595.3602,23447,25.4,338,0.3,0.0254
1307,596.207,17777,39.8,531,0.4,0.0335
1308,596.2479,16638,70.6,942,0.8,0.0358
1309,596.33,16512,16.5,220,0.2,0.0361
1310,596.3632,20392,11.2,150,0.1,0.0292
1311,597.2013,11700,24.1,323,0.3,0.051
1312,597.2497,13072,29.4,396,0.3,0.0457
1313,597.3029,19293,15.2,205,0.2,0.031
1314,598.1528,11337,11.3,153,0.1,0.0528
1315,598.1947,13747,16.6,224,0.2,0.0435
1316,598.2186,17163,15.9,215,0.2,0.0349
1317,598.2549,15447,18.3,248,0.2,0.0387
1318,599.2329,10944,21.3,289,0.2,0.0548
1319,599.266,15460,13.4,182,0.1,0.0388
1320,599.3357,17316,10.1,137,0.1,0.0346
1321,600.1741,15472,11,149,0.1,0.0388
1322,600.2101,15196,22.3,303,0.2,0.0395
1323,600.2328,18465,17.4,236,0.2,0.0325
1324,600.2773,9922,13.7,186,0.2,0.0605
1325,601.1514,11866,11.7,159,0.1,0.0507
1326,601.2149,15628,14.7,199,0.2,0.0385
1327,601.2815,12942,13.2,179,0.1,0.0465
1328,602.1712,15498,9.2,125,0.1,0.0389
1329,602.193,17220,10.4,141,0.1,0.035
1330,602.225,14836,16.9,230,0.2,0.0406
1331,602.2504,14089,14,191,0.2,0.0427
1332,602.2939,10078,10.6,144,0.1,0.0598
1333,603.1953,10911,9.4,128,0.1,0.0553
1334,603.2293,15511,11.2,152,0.1,0.0389
1335,603.2537,15807,13,177,0.1,0.0382
1336,603.2883,11348,10.3,141,0.1,0.0532
1337,604.1527,17379,14.7,200,0.2,0.0348
1338,604.2179,15524,10.7,146,0.1,0.0389
1339,604.2424,14113,13.1,178,0.1,0.0428
1340,605.1462,17179,15.7,214,0.2,0.0352
1341,605.189,10357,10,136,0.1,0.0584
1342,605.2702,19731,24.3,331,0.3,0.0307
1343,606.1493,12477,10.1,138,0.1,0.0486
1344,606.199,12958,12.5,171,0.1,0.0468
1345,606.2251,17277,13.5,184,0.2,0.0351
1346,606.2616,12244,16.2,220,0.2,0.0495
1347,607.143,12683,9.3,127,0.1,0.0479
1348,607.2056,10712,16.1,220,0.2,0.0567
1349,607.2443,22232,14,191,0.2,0.0273
1350,607.3251,16105,13,178,0.1,0.0377
1351,607.3616,31951,52.6,717,0.6,0.019
1352,608.2143,23138,78.8,1074,0.9,0.0263
1353,608.3282,15630,9.3,127,0.1,0.0389
1354,608.3643,28151,20.9,285,0.2,0.0216
1355,609.1465,15021,9.2,125,0.1,0.0406
1356,609.2182,19323,38.8,529,0.4,0.0315
1357,609.3012,19486,11.9,162,0.1,0.0313
1358,609.3405,27712,37.5,511,0.4,0.022
1359,609.3737,21495,15.1,206,0.2,0.0283
1360,610.1641,12732,12.8,176,0.1,0.0479
1361,610.2239,30028,445.4,6096,5,0.0203
1362,610.3436,21918,17,232,0.2,0.0278
1363,611.2273,28799,163.6,2243,1.8,0.0212
1364,611.3208,12135,18.8,258,0.2,0.0504
1365,611.3517,17509,15.6,213,0.2,0.0349
1366,612.1664,18846,25,343,0.3,0.0325
1367,612.2321,20029,51.5,706,0.6,0.0306
1368,612.3243,10661,12.3,168,0.1,0.0574
1369,613.1187,18868,16,219,0.2,0.0325
1370,613.1706,13286,17.6,240,0.2,0.0462
1371,613.2378,9823,24.2,332,0.3,0.0624
1372,613.2757,13033,15.2,207,0.2,0.0471
1373,613.3141,15640,9.8,134,0.1,0.0392
1374,613.353,16025,10,137,0.1,0.0383
1375,614.1797,15651,18.7,255,0.2,0.0392
1376,614.2242,19487,39.3,537,0.4,0.0315
1377,614.2988,14589,14.3,195,0.2,0.0421
1378,615.1649,16370,24.7,337,0.3,0.0376
1379,615.226,13140,21.1,288,0.2,0.0468
1380,615.299,15113,14.9,204,0.2,0.0407
1381,616.1745,11541,16.6,226,0.2,0.0534
1382,616.2408,29158,86.7,1184,1,0.0211
1383,616.3141,15176,11.8,161,0.1,0.0406
1384,617.1619,18131,13.9,190,0.2,0.034
1385,617.2053,17433,11.7,160,0.1,0.0354
1386,617.2443,25259,37.3,510,0.4,0.0244
1387,617.3117,13014,11.2,154,0.1,0.0474
1388,618.1698,14524,12.4,170,0.1,0.0426
1389,618.217,16106,12,164,0.1,0.0384
1390,618.2516,15015,21.2,289,0.2,0.0412
1391,618.3142,15704,11,150,0.1,0.0394
1392,619.1683,9202,10.1,138,0.1,0.0673
1393,619.2549,12495,15.3,210,0.2,0.0496
1394,619.2843,13914,14.3,196,0.2,0.0445
1395,619.3238,15717,9.1,125,0.1,0.0394
1396,619.3603,12756,9,123,0.1,0.0486
1397,619.4342,32289,119.4,1636,1.3,0.0192
1398,620.1795,26212,10.6,146,0.1,0.0237
1399,620.2488,15728,12.6,174,0.1,0.0394
1400,620.4378,33165,42.1,578,0.5,0.0187
1401,621.1888,13239,9.6,132,0.1,0.0469
1402,621.2521,8566,15.2,209,0.2,0.0725
1403,621.3418,17403,15.3,211,0.2,0.0357
1404,621.377,30170,50.4,693,0.6,0.0206
1405,621.4403,26170,10.1,138,0.1,0.0237
1406,622.2215,15753,14,193,0.2,0.0395
1407,622.2537,10630,14.1,194,0.2,0.0585
1408,622.3439,14323,9.8,135,0.1,0.0435
1409,622.3797,29015,21,290,0.2,0.0215
1410,623.2331,19708,12.9,178,0.1,0.0316
1411,623.2663,12245,16.5,228,0.2,0.0509
1412,623.3206,15767,14.4,199,0.2,0.0395
1413,623.3565,32311,64.5,891,0.7,0.0193
1414,623.39,22130,19,262,0.2,0.0282
1415,624.2064,14595,16,221,0.2,0.0428
1416,624.2346,13149,16.8,233,0.2,0.0475
1417,624.2716,13797,13.6,188,0.2,0.0452
1418,624.3258,15780,10.2,141,0.1,0.0396
1419,624.36,26321,25.5,353,0.3,0.0237
1420,625.2211,11280,16.3,226,0.2,0.0554
1421,625.2811,12602,14.3,198,0.2,0.0496
1422,625.3356,24573,28.3,392,0.3,0.0254
1423,626.1935,19624,52.2,724,0.6,0.0319
1424,626.3052,17561,14.8,205,0.2,0.0357
1425,626.3389,19117,14.3,198,0.2,0.0328
1426,627.1968,12673,27.9,387,0.3,0.0495
1427,627.2989,12731,16.1,223,0.2,0.0493
1428,627.3373,14424,10.4,144,0.1,0.0435
1429,628.1967,31326,227.4,3153,2.6,0.0201
1430,628.2669,14419,13.3,185,0.2,0.0436
1431,628.3124,10603,12.9,178,0.1,0.0593
1432,629.1997,27909,85.8,1190,1,0.0225
1433,629.2705,11316,13.5,188,0.2,0.0556
1434,629.3155,16462,19.9,276,0.2,0.0382
1435,629.3858,18792,9.5,132,0.1,0.0335
1436,630.194,26468,104.2,1446,1.2,0.0238
1437,630.2622,19819,14.1,196,0.2,0.0318
1438,630.326,11439,12.5,174,0.1,0.0551
1439,631.1963,24097,45,625,0.5,0.0262
1440,631.2651,17631,12.8,178,0.1,0.0358
1441,631.2865,13223,14.5,201,0.2,0.0477
1442,631.3281,16362,14.3,198,0.2,0.0386
1443,632.2116,18904,32.8,456,0.4,0.0334
1444,632.2745,13233,12.6,175,0.1,0.0478
1445,632.3292,16777,10.1,141,0.1,0.0377
1446,633.2178,13067,17.2,239,0.2,0.0485
1447,633.2669,15893,12.3,171,0.1,0.0398
1448,633.3014,17793,17.5,244,0.2,0.0356
1449,633.3421,14449,9.1,127,0.1,0.0438
1450,633.3774,16970,9.1,127,0.1,0.0373
1451,633.4149,23926,12.7,177,0.1,0.0265
1452,633.45,32304,79.5,1106,0.9,0.0196
1453,634.1904,15446,15,209,0.2,0.0411
1454,634.2185,15904,13.7,191,0.2,0.0399
1455,634.2523,17672,12.4,173,0.1,0.0359
1456,634.2974,9506,11,153,0.1,0.0667
1457,634.4529,29857,30.9,430,0.4,0.0212
1458,635.2405,12439,13.7,191,0.2,0.0511
1459,635.357,15839,13.9,193,0.2,0.0401
1460,635.3929,30802,46.6,648,0.5,0.0206
1461,635.427,19586,12.6,175,0.1,0.0324
1462,635.4532,25266,8.9,123,0.1,0.0252
1463,636.2354,12344,13.1,182,0.1,0.0515
1464,636.2731,11551,12.4,173,0.1,0.0551
1465,636.3568,15177,9.1,126,0.1,0.0419
1466,636.3955,29265,19.6,274,0.2,0.0217
1467,637.2501,15942,13.8,193,0.2,0.04
1468,637.2835,15943,13.8,193,0.2,0.04
1469,637.3349,18518,15.5,216,0.2,0.0344
1470,637.3724,31842,52.8,738,0.6,0.02
1471,637.4057,23236,17.3,241,0.2,0.0274
1472,638.2472,14504,13.4,188,0.2,0.044
1473,638.3037,14505,12.1,171,0.1,0.044
1474,638.3375,19945,9.3,131,0.1,0.032
1475,638.375,27725,23.1,325,0.3,0.023
1476,639.2603,14516,15.3,215,0.2,0.044
1477,639.2997,13307,14.9,210,0.2,0.048
1478,639.3519,30625,66.3,932,0.8,0.0209
1479,640.2371,12292,13.4,188,0.2,0.0521
1480,640.2662,19140,13.1,184,0.1,0.0335
1481,640.3255,24913,33.4,470,0.4,0.0257
1482,640.3544,22745,26.2,369,0.3,0.0282
1483,641.2404,12302,13.2,187,0.2,0.0521
1484,641.2776,14539,13.9,196,0.2,0.0441
1485,641.3225,12808,21.1,298,0.2,0.0501
1486,642.1808,14038,10.1,143,0.1,0.0457
1487,642.2558,14978,14.7,208,0.2,0.0429
1488,642.2823,22865,12.2,173,0.1,0.0281
1489,642.3343,15957,14.1,200,0.2,0.0403
1490,643.1974,12870,14.9,211,0.2,0.05
1491,643.257,16017,12.5,178,0.1,0.0402
1492,643.2913,16018,12.6,179,0.1,0.0402
1493,643.3291,17015,20.8,295,0.2,0.0378
1494,644.2001,10647,12.9,184,0.1,0.0605
1495,644.2736,13052,15.7,223,0.2,0.0494
1496,644.3258,11302,15.3,217,0.2,0.057
1497,645.1849,14583,10.2,146,0.1,0.0442
1498,645.2328,11582,15.1,215,0.2,0.0557
1499,645.2745,14584,15.1,215,0.2,0.0442
1500,645.306,15591,15.6,222,0.2,0.0414
1501,645.3422,19774,15.6,222,0.2,0.0326
1502,645.4492,28112,13.2,188,0.2,0.023
1503,646.1968,20636,11.3,160,0.1,0.0313
1504,646.2332,13379,10.8,154,0.1,0.0483
1505,646.2898,10626,14.5,207,0.2,0.0608
1506,646.3423,15433,10.1,144,0.1,0.0419
1507,647.1963,16066,10.7,153,0.1,0.0403
1508,647.2884,14209,14.2,202,0.2,0.0456
1509,647.3178,18133,23.2,330,0.3,0.0357
1510,647.3551,17091,10.6,151,0.1,0.0379
1511,647.4655,32901,479.2,6818,5.6,0.0197
1512,648.1449,15089,9.5,136,0.1,0.043
1513,648.1956,23334,10.9,156,0.1,0.0278
1514,648.2354,16079,11.2,160,0.1,0.0403
1515,648.3142,10727,13.5,193,0.2,0.0604
1516,648.4688,34035,177.4,2526,2.1,0.0191
1517,649.2095,20114,9.9,142,0.1,0.0323
1518,649.2761,16092,14.9,213,0.2,0.0403
1519,649.3306,12970,9.5,136,0.1,0.0501
1520,649.3726,17157,15.6,222,0.2,0.0378
1521,649.408,29782,38,544,0.4,0.0218
1522,649.4715,31018,36.3,519,0.4,0.0209
1523,650.2489,13766,12.6,181,0.1,0.0472
1524,650.2932,14641,12.4,178,0.1,0.0444
1525,650.3727,14642,9.2,132,0.1,0.0444
1526,650.4107,24887,15.9,228,0.2,0.0261
1527,651.2916,9714,14.9,216,0.2,0.067
1528,651.352,17247,14.8,215,0.2,0.0378
1529,651.388,31237,62.2,902,0.7,0.0209
1530,651.4203,24017,16.5,240,0.2,0.0271
1531,652.2613,16129,13.2,192,0.2,0.0404
1532,652.2946,23042,12.3,180,0.1,0.0283
1533,652.3549,17923,9.6,140,0.1,0.0364
1534,652.3906,29230,27.3,399,0.3,0.0223
1535,653.186,16058,8.4,123,0.1,0.0407
1536,653.2477,14674,15.1,222,0.2,0.0445
1537,653.3069,12223,15.6,230,0.2,0.0534
1538,653.3674,25580,25.6,377,0.3,0.0255
1539,653.394,22324,12.7,187,0.2,0.0293
1540,654.2223,14487,10.4,153,0.1,0.0452
1541,654.2553,12719,13.8,204,0.2,0.0514
1542,654.3073,17949,12,177,0.1,0.0365
1543,654.3395,17223,16.4,241,0.2,0.038
1544,654.3687,19948,13,192,0.2,0.0328
1545,655.2562,10661,19.9,294,0.2,0.0615
1546,655.2931,17963,13.6,201,0.2,0.0365
1547,655.3339,10959,16.6,245,0.2,0.0598
1548,656.2684,9264,14.3,212,0.2,0.0708
1549,656.3275,14954,12.3,182,0.1,0.0439
1550,657.2135,11932,10.2,152,0.1,0.0551
1551,657.2711,13492,16.1,238,0.2,0.0487
1552,657.3108,16191,13.5,201,0.2,0.0406
1553,657.3444,18950,23.1,342,0.3,0.0347
1554,658.2906,14102,16.9,251,0.2,0.0467
1555,658.3405,15817,18.6,276,0.2,0.0416
1556,659.214,16215,9.1,135,0.1,0.0407
1557,659.2893,13161,19.6,291,0.2,0.0501
1558,659.3211,16216,14.8,220,0.2,0.0407
1559,659.3584,18482,19.9,295,0.2,0.0357
1560,659.4651,31659,16.9,250,0.2,0.0208
1561,660.2102,9545,9.7,144,0.1,0.0692
1562,660.3059,10700,18.3,270,0.2,0.0617
1563,660.3602,16332,12.3,182,0.1,0.0404
1564,661.1715,12183,10.1,149,0.1,0.0543
1565,661.2086,11774,12.8,190,0.2,0.0562
1566,661.3337,29801,56.8,840,0.7,0.0222
1567,661.4456,29168,38.1,564,0.5,0.0227
1568,661.481,34190,156,2306,1.9,0.0193
1569,662.1597,17765,12.2,180,0.1,0.0373
1570,662.2152,14774,10.2,151,0.1,0.0448
1571,662.335,17464,23.7,350,0.3,0.0379
1572,662.4484,24945,16.7,246,0.2,0.0266
1573,662.4838,30882,59.9,884,0.7,0.0215
1574,663.1644,12625,10.7,159,0.1,0.0525
1575,663.2923,17154,16.4,242,0.2,0.0387
1576,663.3878,21104,13.6,201,0.2,0.0314
1577,663.4241,30984,44.1,652,0.5,0.0214
1578,663.4587,25878,36.6,541,0.4,0.0256
1579,664.1717,19541,19.4,288,0.2,0.034
1580,664.2431,13564,11.1,164,0.1,0.049
1581,664.2671,16277,12.2,181,0.1,0.0408
1582,664.3079,9817,13.3,197,0.2,0.0677
1583,664.3879,17505,8.6,128,0.1,0.038
1584,664.4272,27701,18.3,271,0.2,0.024
1585,664.4626,25020,14.9,221,0.2,0.0266
1586,665.1764,13573,11.3,168,0.1,0.049
1587,665.248,10980,12.6,187,0.2,0.0606
1588,665.273,14808,12.6,187,0.2,0.0449
1589,665.3112,14193,14.4,214,0.2,0.0469
1590,665.3676,19853,18,269,0.2,0.0335
1591,665.4034,29622,40,595,0.5,0.0225
1592,665.4393,29561,43.1,642,0.5,0.0225
1593,666.1708,16426,15.1,225,0.2,0.0406
1594,666.257,11644,12.4,186,0.2,0.0572
1595,666.3045,11644,12.2,183,0.1,0.0572
1596,666.3674,16303,9.7,145,0.1,0.0409
1597,666.4053,25349,18.2,272,0.2,0.0263
1598,666.4425,29657,19.5,291,0.2,0.0225
1599,667.1752,13762,9.5,142,0.1,0.0485
1600,667.2592,12538,14.8,221,0.2,0.0532
1601,667.3367,13595,11.5,173,0.1,0.0491
1602,667.3829,28859,42,629,0.5,0.0231
1603,668.1686,11989,8.4,126,0.1,0.0557
1604,668.2678,12722,13.9,209,0.2,0.0525
1605,668.3223,27211,10.3,154,0.1,0.0246
1606,668.3566,28100,30.4,457,0.4,0.0238
1607,668.3849,22011,18.1,272,0.2,0.0304
1608,669.2726,13856,18.2,274,0.2,0.0483
1609,669.3038,13615,15.1,227,0.2,0.0492
1610,669.3573,14903,18.5,278,0.2,0.0449
1611,670.286,17095,14.3,216,0.2,0.0392
1612,670.3661,15295,10.5,157,0.1,0.0438
1613,671.2411,40905,11.5,174,0.1,0.0164
1614,671.2878,13619,19.7,298,0.2,0.0493
1615,671.3249,18256,13.7,207,0.2,0.0368
1616,671.3611,21004,21.6,327,0.3,0.032
1617,672.2118,14046,10.9,166,0.1,0.0479
1618,672.227,27290,10.4,158,0.1,0.0246
1619,672.3036,7909,15.5,235,0.2,0.085
1620,672.3583,14922,14.9,226,0.2,0.0451
1621,673.213,14896,10.7,163,0.1,0.0452
1622,673.2665,11090,14.5,222,0.2,0.0607
1623,673.3046,16143,24.1,368,0.3,0.0417
1624,673.3371,18208,14.5,221,0.2,0.037
1625,673.3762,30823,39.3,601,0.5,0.0218
1626,673.48,28867,8.7,133,0.1,0.0233
1627,674.2245,16398,10.3,159,0.1,0.0411
1628,674.2703,13976,11.5,177,0.1,0.0482
1629,674.3202,17526,19.6,301,0.2,0.0385
1630,674.3793,24593,19.4,299,0.2,0.0274
1631,675.2241,14919,10,155,0.1,0.0453
1632,675.255,27352,10.5,162,0.1,0.0247
1633,675.2834,14919,13.1,203,0.2,0.0453
1634,675.3195,18394,23.1,358,0.3,0.0367
1635,675.3483,20804,21.5,333,0.3,0.0325
1636,675.3894,19226,18.2,282,0.2,0.0351
1637,675.4212,27355,8,124,0.1,0.0247
1638,675.4607,30949,56.2,871,0.7,0.0218
1639,675.4965,33917,94,1456,1.2,0.0199
1640,676.2052,14930,8.5,132,0.1,0.0453
1641,676.2684,18248,10.5,164,0.1,0.0371
1642,676.3285,12475,15.4,240,0.2,0.0542
1643,676.394,16789,9.9,155,0.1,0.0403
1644,676.4641,28643,22.6,352,0.3,0.0236
1645,676.5,32026,38.3,596,0.5,0.0211
1646,677.3083,16436,19.2,299,0.2,0.0412
1647,677.4029,18954,14.2,221,0.2,0.0357
1648,677.4394,27248,26.6,414,0.3,0.0249
1649,677.473,21786,20,311,0.3,0.0311
1650,678.2791,27413,11.8,183,0.1,0.0247
1651,678.3132,14953,13.1,205,0.2,0.0454
1652,678.4029,16449,8.4,131,0.1,0.0412
1653,678.4423,23521,12.4,194,0.2,0.0288
1654,678.4761,19204,8.4,132,0.1,0.0353
1655,679.2606,10195,13.5,210,0.2,0.0666
1656,679.3254,17407,13.9,217,0.2,0.039
1657,679.3825,18351,16.3,254,0.2,0.037
1658,679.4194,30607,63.4,989,0.8,0.0222
1659,679.4551,33193,92.1,1436,1.2,0.0205
1660,680.2718,11799,14.8,231,0.2,0.0577
1661,680.3181,14284,15.3,238,0.2,0.0476
1662,680.3859,18304,9.9,155,0.1,0.0372
1663,680.4225,27330,26.3,410,0.3,0.0249
1664,680.4586,30924,34.9,544,0.4,0.022
1665,681.2746,11037,17.5,273,0.2,0.0617
1666,681.3085,19664,13.4,210,0.2,0.0346
1667,681.3507,13683,11.7,183,0.1,0.0498
1668,681.3973,21436,20.5,320,0.3,0.0318
1669,681.4308,18366,16,250,0.2,0.0371
1670,681.4538,25113,10.9,170,0.1,0.0271
1671,682.283,13062,15.3,239,0.2,0.0522
1672,682.3232,11649,17.4,272,0.2,0.0586
1673,682.3705,16195,14.4,224,0.2,0.0421
1674,683.2552,9669,11.5,179,0.1,0.0707
1675,683.2869,14128,19,297,0.2,0.0484
1676,683.3255,13534,16,250,0.2,0.0505
1677,683.3735,16976,13.7,215,0.2,0.0403
1678,684.2947,13767,13.2,206,0.2,0.0497
1679,685.3019,14685,22.7,359,0.3,0.0467
1680,685.3385,13398,14.2,224,0.2,0.0512
1681,686.3106,11740,15.3,242,0.2,0.0585
1682,686.3645,17480,13.2,210,0.2,0.0393
1683,687.2516,16556,10.9,174,0.1,0.0415
1684,687.2842,16557,13.3,212,0.2,0.0415
1685,687.3194,25259,37.6,600,0.5,0.0272
1686,687.4962,29080,13.5,216,0.2,0.0236
1687,688.2812,27614,11.9,190,0.2,0.0249
1688,688.3227,13194,21.3,341,0.3,0.0522
1689,689.2455,10807,10.8,172,0.1,0.0638
1690,689.2595,27634,11,176,0.1,0.0249
1691,689.3001,15645,15.5,248,0.2,0.0441
1692,689.3341,18133,28.6,457,0.4,0.038
1693,689.3645,24274,31.4,501,0.4,0.0284
1694,689.4416,21444,10,159,0.1,0.0322
1695,689.4768,32565,91.6,1463,1.2,0.0212
1696,689.5115,32208,52.4,837,0.7,0.0214
1697,690.2147,20740,9.6,153,0.1,0.0333
1698,690.2549,16592,10.1,161,0.1,0.0416
1699,690.2856,18436,11.7,187,0.2,0.0374
1700,690.3361,15907,17,271,0.2,0.0434
1701,690.3665,19492,15.1,241,0.2,0.0354
1702,690.4799,33615,39.2,626,0.5,0.0205
1703,690.5145,30647,23.8,380,0.3,0.0225
1704,691.3125,14012,14.7,235,0.2,0.0493
1705,691.3446,14417,16.4,261,0.2,0.048
1706,691.4185,20758,10.2,163,0.1,0.0333
1707,691.4553,31811,77.7,1240,1,0.0217
